#This file contains the following instrument response data for IceCube-79 WH data sample:
# 1. Histograms of Nchan response distributions for muon energy 
#    intervals of log10(E) = 0.2;
#    Nchan values are corrected for the higher photocathode density within DeepCore 
#
#All histograms are normalized to 1.  The file has the following column content:
#H [Histogram number]
#E [log10(E_nu); lower bound]  [log10(E_nu); upper bound]
#h [Histogram bin]   [Nchan]   [Bin content]
#
####
H  4
E  1.4  1.6
h  10  10  0.00517067
h  11  11  0.0156018
h  12  12  0.0284529
h  13  13  0.0403114
h  14  14  0.0509127
h  15  15  0.0605214
h  16  16  0.0654463
h  17  17  0.067663
h  18  18  0.0680364
h  19  19  0.0656732
h  20  20  0.0620811
h  21  21  0.0583284
h  22  22  0.0528552
h  23  23  0.0479729
h  24  24  0.0435348
h  25  25  0.038038
h  26  26  0.0332549
h  27  27  0.0288641
h  28  28  0.025272
h  29  29  0.0213491
h  30  30  0.0181068
h  31  31  0.0154742
h  32  32  0.0132906
h  33  33  0.0117214
h  34  34  0.0100436
h  35  35  0.008257
h  36  36  0.00686744
h  37  37  0.00609232
h  38  38  0.00501943
h  39  39  0.0042443
h  40  40  0.00351643
h  41  41  0.00282165
h  42  42  0.00235847
h  43  43  0.00199926
h  44  44  0.00160225
h  45  45  0.00146518
h  46  46  0.00124304
h  47  47  0.000841297
h  48  48  0.000756222
h  49  49  0.000590799
h  50  50  0.00056244
h  51  51  0.000401743
h  52  52  0.000354479
h  53  53  0.00028831
h  54  54  0.000255225
h  55  55  0.000137065
h  56  56  0.000179603
h  57  57  0.000174876
h  58  58  0.00011816
h  59  59  0.000146518
h  60  60  0.000103981
h  61  61  0.000127613
h  62  62  8.03486e-05
h  63  63  3.78111e-05
h  64  64  7.56222e-05
h  65  65  3.30847e-05
h  66  66  3.30847e-05
h  67  67  9.45278e-06
h  68  68  4.72639e-05
h  69  69  1.89056e-05
h  70  70  2.83583e-05
h  71  71  3.30847e-05
h  72  72  2.83583e-05
h  73  73  1.89056e-05
h  74  74  1.41792e-05
h  75  75  1.41792e-05
h  76  76  1.41792e-05
h  77  77  1.41792e-05
h  78  78  0
h  79  79  4.72639e-06
h  80  80  4.72639e-06
h  81  81  0
h  82  82  1.89056e-05
h  83  83  1.41792e-05
h  84  84  9.45278e-06
h  85  85  0
h  86  86  0
h  87  87  0
h  88  88  0
h  89  89  0
h  90  90  0
h  91  91  0
h  92  92  0
h  93  93  4.72639e-06
h  94  94  0
h  95  95  4.72639e-06
h  96  96  0
h  97  97  4.72639e-06
h  98  98  0
h  99  99  0
####
H  10
E  2.6  2.8
h  0  0  0
h  1  1  0
h  2  2  0
h  3  3  0
h  4  4  0
h  5  5  0
h  6  6  0
h  7  7  1.79647e-05
h  8  8  0.000161682
h  9  9  0.000389236
h  10  10  0.00391032
h  11  11  0.0115513
h  12  12  0.0222463
h  13  13  0.0315221
h  14  14  0.0420374
h  15  15  0.0507144
h  16  16  0.0557565
h  17  17  0.0590979
h  18  18  0.0596249
h  19  19  0.0603914
h  20  20  0.058547
h  21  21  0.0569062
h  22  22  0.0537444
h  23  23  0.0510198
h  24  24  0.0457621
h  25  25  0.0418338
h  26  26  0.0377738
h  27  27  0.033612
h  28  28  0.0292226
h  29  29  0.0263423
h  30  30  0.0221744
h  31  31  0.0201804
h  32  32  0.0174797
h  33  33  0.0153718
h  34  34  0.0133059
h  35  35  0.0114136
h  36  36  0.010192
h  37  37  0.00900032
h  38  38  0.00758111
h  39  39  0.00672479
h  40  40  0.00537744
h  41  41  0.00472472
h  42  42  0.004072
h  43  43  0.00311987
h  44  44  0.00271866
h  45  45  0.00229948
h  46  46  0.0017845
h  47  47  0.00155694
h  48  48  0.00128148
h  49  49  0.00107189
h  50  50  0.000886259
h  51  51  0.000634753
h  52  52  0.000652718
h  53  53  0.000562894
h  54  54  0.0004072
h  55  55  0.000437141
h  56  56  0.000413189
h  57  57  0.000275459
h  58  58  0.000287435
h  59  59  0.000227553
h  60  60  0.000227553
h  61  61  0.000173659
h  62  62  0.000107788
h  63  63  0.000131741
h  64  64  8.38353e-05
h  65  65  7.78471e-05
h  66  66  0.000125753
h  67  67  0.000125753
h  68  68  7.78471e-05
h  69  69  2.99412e-05
h  70  70  5.38942e-05
h  71  71  4.19177e-05
h  72  72  3.59294e-05
h  73  73  4.79059e-05
h  74  74  4.19177e-05
h  75  75  1.19765e-05
h  76  76  2.99412e-05
h  77  77  2.99412e-05
h  78  78  0
h  79  79  2.3953e-05
h  80  80  0
h  81  81  0
h  82  82  1.19765e-05
h  83  83  5.98824e-06
h  84  84  5.98824e-06
h  85  85  5.98824e-06
h  86  86  0
h  87  87  1.19765e-05
h  88  88  0
h  89  89  5.98824e-06
h  90  90  5.98824e-06
h  91  91  0
h  92  92  0
h  93  93  0
h  94  94  0
h  95  95  1.19765e-05
h  96  96  5.98824e-06
h  97  97  0
h  98  98  0
h  99  99  0
####
H  11
E  2.8  3
h  0  0  0
h  1  1  0
h  2  2  0
h  3  3  0
h  4  4  0
h  5  5  0
h  6  6  0
h  7  7  4.03288e-05
h  8  8  8.06575e-05
h  9  9  0.000298433
h  10  10  0.00333922
h  11  11  0.00917076
h  12  12  0.0172607
h  13  13  0.0257459
h  14  14  0.0341423
h  15  15  0.0415225
h  16  16  0.0478057
h  17  17  0.0502819
h  18  18  0.0543148
h  19  19  0.0541777
h  20  20  0.0559925
h  21  21  0.0548148
h  22  22  0.0528307
h  23  23  0.0514514
h  24  24  0.0471282
h  25  25  0.043668
h  26  26  0.0413047
h  27  27  0.0367234
h  28  28  0.0334971
h  29  29  0.0295529
h  30  30  0.0259153
h  31  31  0.0229067
h  32  32  0.0208177
h  33  33  0.0185835
h  34  34  0.0158492
h  35  35  0.0149136
h  36  36  0.0128568
h  37  37  0.011526
h  38  38  0.010179
h  39  39  0.00906591
h  40  40  0.00733983
h  41  41  0.0064526
h  42  42  0.00600092
h  43  43  0.00488785
h  44  44  0.00438777
h  45  45  0.0037909
h  46  46  0.00314564
h  47  47  0.00259717
h  48  48  0.00187125
h  49  49  0.00158895
h  50  50  0.00130665
h  51  51  0.00118567
h  52  52  0.00102435
h  53  53  0.000725918
h  54  54  0.000742049
h  55  55  0.00053234
h  56  56  0.000572668
h  57  57  0.000475879
h  58  58  0.000435551
h  59  59  0.000371025
h  60  60  0.000282301
h  61  61  0.000338762
h  62  62  0.000233907
h  63  63  0.000258104
h  64  64  0.000145184
h  65  65  0.00020971
h  66  66  9.6789e-05
h  67  67  9.6789e-05
h  68  68  0.000104855
h  69  69  0.000120986
h  70  70  7.25918e-05
h  71  71  8.06575e-05
h  72  72  9.6789e-05
h  73  73  4.83945e-05
h  74  74  4.83945e-05
h  75  75  2.41973e-05
h  76  76  5.64603e-05
h  77  77  4.83945e-05
h  78  78  0
h  79  79  2.41973e-05
h  80  80  4.83945e-05
h  81  81  3.2263e-05
h  82  82  2.41973e-05
h  83  83  1.61315e-05
h  84  84  8.06575e-06
h  85  85  1.61315e-05
h  86  86  3.2263e-05
h  87  87  3.2263e-05
h  88  88  4.03288e-05
h  89  89  2.41973e-05
h  90  90  8.06575e-06
h  91  91  8.06575e-06
h  92  92  1.61315e-05
h  93  93  8.06575e-06
h  94  94  0
h  95  95  8.06575e-06
h  96  96  2.41973e-05
h  97  97  1.61315e-05
h  98  98  0
h  99  99  0
####
H  12
E  3  3.2
h  0  0  0
h  1  1  0
h  2  2  0
h  3  3  0
h  4  4  0
h  5  5  0
h  6  6  0
h  7  7  1.20807e-05
h  8  8  8.45646e-05
h  9  9  0.000265774
h  10  10  0.00244029
h  11  11  0.00735712
h  12  12  0.0146297
h  13  13  0.0203438
h  14  14  0.0293077
h  15  15  0.0353842
h  16  16  0.0408688
h  17  17  0.0436595
h  18  18  0.0487817
h  19  19  0.0496394
h  20  20  0.0496152
h  21  21  0.0515844
h  22  22  0.0508716
h  23  23  0.0486125
h  24  24  0.047332
h  25  25  0.0443843
h  26  26  0.0409172
h  27  27  0.0389359
h  28  28  0.0344178
h  29  29  0.0318808
h  30  30  0.0287882
h  31  31  0.0244512
h  32  32  0.0225787
h  33  33  0.021117
h  34  34  0.0192203
h  35  35  0.0171908
h  36  36  0.0165747
h  37  37  0.0142068
h  38  38  0.0125518
h  39  39  0.0112833
h  40  40  0.0105343
h  41  41  0.00926586
h  42  42  0.00860142
h  43  43  0.00671684
h  44  44  0.00645107
h  45  45  0.00536381
h  46  46  0.00451816
h  47  47  0.00413158
h  48  48  0.00314097
h  49  49  0.00279063
h  50  50  0.00212619
h  51  51  0.00190874
h  52  52  0.00165505
h  53  53  0.00166713
h  54  54  0.00135303
h  55  55  0.00109934
h  56  56  0.000990613
h  57  57  0.000990613
h  58  58  0.000724839
h  59  59  0.000579871
h  60  60  0.000688597
h  61  61  0.000664436
h  62  62  0.000386581
h  63  63  0.000410742
h  64  64  0.000446984
h  65  65  0.000519468
h  66  66  0.000350339
h  67  67  0.000277855
h  68  68  0.00019329
h  69  69  0.000314097
h  70  70  0.000144968
h  71  71  0.000120807
h  72  72  0.00019329
h  73  73  0.000132887
h  74  74  0.000120807
h  75  75  0.000108726
h  76  76  8.45646e-05
h  77  77  7.24839e-05
h  78  78  7.24839e-05
h  79  79  0.000108726
h  80  80  7.24839e-05
h  81  81  3.6242e-05
h  82  82  4.83226e-05
h  83  83  3.6242e-05
h  84  84  2.41613e-05
h  85  85  0
h  86  86  0
h  87  87  3.6242e-05
h  88  88  4.83226e-05
h  89  89  2.41613e-05
h  90  90  0
h  91  91  2.41613e-05
h  92  92  7.24839e-05
h  93  93  1.20807e-05
h  94  94  3.6242e-05
h  95  95  3.6242e-05
h  96  96  0
h  97  97  0
h  98  98  1.20807e-05
h  99  99  0
####
H  13
E  3.2  3.4
h  0  0  0
h  1  1  0
h  2  2  0
h  3  3  0
h  4  4  0
h  5  5  0
h  6  6  0
h  7  7  0
h  8  8  7.47314e-05
h  9  9  0.000280243
h  10  10  0.00173751
h  11  11  0.00605325
h  12  12  0.0124428
h  13  13  0.018029
h  14  14  0.0239514
h  15  15  0.0307894
h  16  16  0.0357403
h  17  17  0.0394021
h  18  18  0.0430453
h  19  19  0.045362
h  20  20  0.0472676
h  21  21  0.0461093
h  22  22  0.0465764
h  23  23  0.0474731
h  24  24  0.045717
h  25  25  0.0411583
h  26  26  0.0396824
h  27  27  0.037291
h  28  28  0.0351611
h  29  29  0.03234
h  30  30  0.0298926
h  31  31  0.0267725
h  32  32  0.0254087
h  33  33  0.0236338
h  34  34  0.0217282
h  35  35  0.0197851
h  36  36  0.0178234
h  37  37  0.0166651
h  38  38  0.016553
h  39  39  0.0141056
h  40  40  0.0135824
h  41  41  0.0110789
h  42  42  0.00988323
h  43  43  0.00898646
h  44  44  0.00887436
h  45  45  0.00764129
h  46  46  0.0070808
h  47  47  0.00575432
h  48  48  0.00433442
h  49  49  0.0040355
h  50  50  0.00330687
h  51  51  0.00285848
h  52  52  0.00257823
h  53  53  0.00226063
h  54  54  0.00212985
h  55  55  0.00158804
h  56  56  0.0018496
h  57  57  0.00134517
h  58  58  0.00121439
h  59  59  0.00147595
h  60  60  0.00112097
h  61  61  0.000840729
h  62  62  0.000840729
